doc_name,date,auteur,titre,fabula,gender,mort_auteur,canon
1959_San-Antonio_Entre-la-vie-et-la-morgue,1959,antonio san,entre la vie et la morgue,False,male,2000,non-canon
1959_San-Antonio_On-t-enverra-du-monde,1959,antonio san,on t enverra du monde,False,male,2000,non-canon
1959_Queneau-Raymond_Zazie-Dans-Le-Metro,1959,raymond queneau,zazie dans le metro,True,male,1976,canon
1959_Magali_L'absente,1959,magali,l'absente,False,female,1986,non-canon
1959_Sagan-Françoise_Aimez-vous-Brahms,1959,françoise sagan,aimez vous brahms,False,female,2004,non-canon
1959_Sarraute-Nathalie_Le-Planetarium,1959,nathalie sarraute,le planetarium,True,female,1999,canon
1960_San-Antonio_Du-sirop-pour-les-guepes,1960,antonio san,du sirop pour les guepes,False,male,2000,non-canon
1960_Delly_Le-sceau-de-Satan,1960,delly,le sceau de satan,False,female,1947,non-canon
1960_San-Antonio_Berceuse-pour-Berurier,1960,antonio san,berceuse pour berurier,False,male,2000,non-canon
1960_Kessel-Joseph_Les-Mains-du-miracle,1960,joseph kessel,les mains du miracle,True,male,1979,canon
1960_Troyat-Henri_La-Barynia,1960,henri troyat,la barynia,False,male,2007,non-canon
1960_Delly_Le-feu-sous-la-glace,1960,delly,le feu sous la glace,False,female,1947,non-canon
1960_Simenon-Georges_Maigret-et-les-vieillards,1960,georges simenon,maigret et les vieillards,True,male,1989,canon
1960_San-Antonio_J-suis-comme-ça,1960,antonio san,j suis comme ça,False,male,2000,non-canon
